error: [4/24/2024, 8:12:09 PM] [POST] /api/extend/cart - Usuario no encontrado al agregar producto al carrito.
error: [4/25/2024, 3:59:08 PM] [POST] /api/extend/users/register - El correo electrónico ya está en uso.
error: [4/25/2024, 3:59:12 PM] [POST] /api/extend/users/register - La edad debe ser un número válido.
error: [4/25/2024, 6:17:01 PM] [DELETE] /api/extend/users/login Correo electrónico o contraseña incorrectos.
error: [4/26/2024, 10:58:52 AM] [POST] /api/extend/cart - Error al agregar producto al carrito: Cannot read properties of undefined (reading 'toString') {"stack":"TypeError: Cannot read properties of undefined (reading 'toString')\n    at file:///Users/matiasalzugaray/Downloads/proyecto-final-main/src/controllers/cart.controller.js:88:51\n    at Proxy.findIndex (<anonymous>)\n    at CartExtendRouter.postCartController (file:///Users/matiasalzugaray/Downloads/proyecto-final-main/src/controllers/cart.controller.js:87:48)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async file:///Users/matiasalzugaray/Downloads/proyecto-final-main/src/routes/custom/custom.router.js:127:9"}
error: [4/26/2024, 10:59:07 AM] [POST] /api/extend/cart - Error al agregar producto al carrito: Cannot read properties of undefined (reading 'toString') {"stack":"TypeError: Cannot read properties of undefined (reading 'toString')\n    at file:///Users/matiasalzugaray/Downloads/proyecto-final-main/src/controllers/cart.controller.js:88:51\n    at Proxy.findIndex (<anonymous>)\n    at CartExtendRouter.postCartController (file:///Users/matiasalzugaray/Downloads/proyecto-final-main/src/controllers/cart.controller.js:87:48)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async file:///Users/matiasalzugaray/Downloads/proyecto-final-main/src/routes/custom/custom.router.js:127:9"}
error: [4/26/2024, 11:00:45 AM] [POST] /api/extend/cart - Error al agregar producto al carrito: Cannot read properties of undefined (reading 'toString') {"stack":"TypeError: Cannot read properties of undefined (reading 'toString')\n    at file:///Users/matiasalzugaray/Downloads/proyecto-final-main/src/controllers/cart.controller.js:90:51\n    at Proxy.findIndex (<anonymous>)\n    at CartExtendRouter.postCartController (file:///Users/matiasalzugaray/Downloads/proyecto-final-main/src/controllers/cart.controller.js:89:48)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async file:///Users/matiasalzugaray/Downloads/proyecto-final-main/src/routes/custom/custom.router.js:127:9"}
error: [4/26/2024, 11:01:18 AM] [POST] /api/extend/cart - Error al agregar producto al carrito: Cannot read properties of undefined (reading 'toString') {"stack":"TypeError: Cannot read properties of undefined (reading 'toString')\n    at file:///Users/matiasalzugaray/Downloads/proyecto-final-main/src/controllers/cart.controller.js:88:51\n    at Proxy.findIndex (<anonymous>)\n    at CartExtendRouter.postCartController (file:///Users/matiasalzugaray/Downloads/proyecto-final-main/src/controllers/cart.controller.js:87:48)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async file:///Users/matiasalzugaray/Downloads/proyecto-final-main/src/routes/custom/custom.router.js:127:9"}
error: [4/26/2024, 11:02:50 AM] [POST] /api/extend/cart - Error al agregar producto al carrito: Cannot read properties of undefined (reading 'toString') {"stack":"TypeError: Cannot read properties of undefined (reading 'toString')\n    at file:///Users/matiasalzugaray/Downloads/proyecto-final-main/src/controllers/cart.controller.js:91:51\n    at Proxy.findIndex (<anonymous>)\n    at CartExtendRouter.postCartController (file:///Users/matiasalzugaray/Downloads/proyecto-final-main/src/controllers/cart.controller.js:90:48)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async file:///Users/matiasalzugaray/Downloads/proyecto-final-main/src/routes/custom/custom.router.js:127:9"}
error: [4/26/2024, 11:06:03 AM] [DELETE] /api/extend/products/662bb2fe3805077617fce13a - Producto no encontrado para eliminar
error: [4/26/2024, 11:07:25 AM] [DELETE] /api/extend/products/662bb2fe3805077617fce13a - Producto no encontrado para eliminar
error: [4/26/2024, 11:07:44 AM] [DELETE] /api/extend/products/662bb2fe3805077617fce13a - Producto no encontrado para eliminar
error: [4/26/2024, 11:08:53 AM] [DELETE] /api/extend/products/662bb2fe3805077617fce13a - Producto no encontrado para eliminar
